w1,w2,r
tắc,nghẽn,SYN
kết_thúc,khởi_đầu,ANT
bổ_dụng,miễn_nhiệm,ANT
chê_bai,khen_ngợi,ANT
xoi,xuyên,SYN
phạm,giữ,ANT
giải_tán,tập_hợp,ANT
đánh_hỏng,chấp_thuận,ANT
đánh_cá,đánh_cuộc,SYN
chối_từ,chấp_nhận,ANT
lủi,lỉnh,SYN
mở_rộng,thu_hẹp,ANT
tịch,viên_tịch,SYN
thoái,tiến,ANT
nói_chuyện,chuyện_trò,SYN
giải_toả,phong_toả,ANT
tóm_tắt,mài_giũa,ANT
dao_động,ngả_nghiêng,SYN
đâm_ra,sinh,SYN
cá_cược,đánh_cược,SYN
rối_bù,rối_mù,SYN
rụt,thè,ANT
tụ_tập,lan_truyền,ANT
thu,xoá_bỏ,ANT
nhào,bổ_nhào,SYN
bội_nghĩa,biết_ơn,ANT
chê,khen,ANT
báo_ân,báo_oán,ANT
vuốt_ve,ve_vuốt,SYN
quên_lãng,nhớ,ANT
ngoái,ngoảnh,SYN
cho_phép,khước_từ,ANT
tháo,sắp_xếp,ANT
chõ,chõ_mồm,SYN
mất,lĩnh,ANT
giao,trao,SYN
mở,sắp_xếp,ANT
phát_triển,suy_thoái,ANT
rút,dâng,ANT
phản_đối,đồng_ý,ANT
khám,khám_xét,SYN
giải_phẫu,phẫu_thuật,SYN
bổ_nhậm,miễn_nhiệm,ANT
nản_chí,thoái_chí,SYN
áp_dụng,ứng_dụng,SYN
bàn_bạc,luận_bàn,SYN
khởi_động,ngừng,ANT
bất_an,xả,ANT
cải_giá,tái_giá,SYN
xỉa,xía,SYN
trôi,đắm,ANT
xuất_gia,xuống_tóc,SYN
chìm,nổi,ANT
tránh_mặt,đối_mặt,ANT
bậm,bặm,SYN
tố_giác,cáo_giác,SYN
thành_công,thất_bại,ANT
lơ_là,sao_lãng,SYN
nhập,tách,ANT
va,trật,ANT
buộc,bắt_buộc,SYN
ăn_năn,ân_hận,SYN
cá_cược,đánh_cuộc,SYN
ghét,yêu,ANT
giận,dỗi,SYN
chần_chừ,ngần_ngừ,SYN
bội_nghĩa,hàm_ơn,ANT
ngỏm,ngủm,SYN
xịch,xít,SYN
đợi,đợi_chờ,SYN
nằm,ngồi,ANT
đập,hụt,ANT
bức_hiếp,ức_hiếp,SYN
dấp,xấp,SYN
chia_ly,đoàn_tụ,ANT
hết,bắt_đầu,ANT
để_tâm,bỏ_dở,ANT
quí_mến,căm,ANT
ngăn_cản,đồng_ý,ANT
đồn_đãi,phao,SYN
bác_bỏ,chấp_thuận,ANT
dự,tham_dự,SYN
tụ_tập,tập_hợp,SYN
nảy,phát_sinh,SYN
mong_đợi,trông_mong,SYN
rũ,vỗ,SYN
chao_đảo,nao_núng,SYN
lo,bảo_đảm,ANT
hạ_nhục,lăng_nhục,SYN
nguyền_rủa,mong,ANT
bán,mua,ANT
ca_tụng,chỉ_trích,ANT
dây,dính_dấp,SYN
phanh_phui,vạch_trần,SYN
thí_điểm,thí_nghiệm,SYN
hắt_hơi,hắt_xì_hơi,SYN
vòng_quanh,quanh_co,SYN
cốc,củng,SYN
ca_ngợi,lên_án,ANT
đong_đưa,vung_vẩy,SYN
phó_thác,uỷ_thác,SYN
tắt,đóng,SYN
bật,tắt,ANT
rớ,rờ,SYN
ăn_xin,hành_khất,SYN
thờ_ơ,hững_hờ,SYN
tu_sửa,sửa_sang,SYN
lẩm_bẩm,lẩm_nhẩm,SYN
rút_gọn,mài_dũa,ANT
tập_kết,tập_trung,SYN
rơi,rớt,SYN
xem_thường,tôn_trọng,ANT
ganh,tị,SYN
phân_bì,tị_nạnh,SYN
sưu_tập,truyền_bá,ANT
chia,đoàn_kết,ANT
phá_bĩnh,phá_đám,SYN
bao_phủ,tháo,ANT
giảm,tăng,ANT
vô_trùng,sát_trùng,SYN
mở_màn,ngừng,ANT
đan,tháo,ANT
đền,thường,SYN
bồi_bổ,bồi_dưỡng,SYN
bít,bịt,SYN
khẳng_định,phủ_định,ANT
tán_thành,phản_đối,ANT
chú_thích,ghi_chú,SYN
khiếp_đảm,khiếp_vía,SYN
bại,thắng,ANT
kệ,mặc_kệ,SYN
để_tâm,bỏ,ANT
pha_chế,điều_chế,SYN
phân_li,đoàn_tụ,ANT
chần_chừ,dứt_khoát,ANT
sa_thải,thuê,ANT
nuông,nuông_chiều,SYN
nhập_ngoại,nhập_nội,SYN
đâm,hoá,SYN
giải_tán,tụ_tập,ANT
hắng_giọng,tằng_hắng,SYN
cóp_nhặt,quảng_bá,ANT
phúng,phúng_viếng,SYN
che,cởi,ANT
nhét,nhồi,SYN
chọn,lựa,SYN
lặn,mọc,ANT
ghìm,nén,SYN
rớt,trúng_tuyển,ANT
rờ_mó,sờ_mó,SYN
đóng,mở,ANT
chi,thu,ANT
xét_duyệt,xoá_bỏ,ANT
ào,tràn,SYN
tránh_né,áp_dụng,ANT
giải_ngũ,tập_hợp,ANT
báo_ân,trả_thù,ANT
bất_kính,coi_trọng,ANT
chuồn,lẻn,SYN
trông,trông_nom,SYN
bỏ_cuộc,gia_nhập,ANT
thoái_chí,kiên_định,ANT
rủa,ước,ANT
lên,xuống,ANT
lơ,lắng_nghe,ANT
tiến,lui,ANT
phản_đối,đồng_tình,ANT
phá_quấy,quậy_phá,SYN
nổi_giận,nổi_nóng,SYN
hoang_phí,tằn_tiện,ANT
phá_quấy,quấy_nhiễu,SYN
bóc_trần,lột_trần,SYN
chia_li,đoàn_tụ,ANT
vi_phạm,thi_hành,ANT
ghi_âm,loại_bỏ,ANT
lấy,dán,ANT
kích_động,khích_động,SYN
hi_vọng,thất_vọng,ANT
kiềm_chế,kềm_chế,SYN
cắm_đầu,chúi_đầu,SYN
cản,ngăn,SYN
chấp_thuận,từ_chối,ANT
xắn,trải,ANT
lè,thụt,ANT
thành_lập,thủ_tiêu,ANT
ngồi_xổm,ngồi_chồm_hổm,SYN
tham_dự,lỡ,ANT
rã,tan,SYN
coi_nhẹ,coi_trọng,ANT
băng_hà,ra_đời,ANT
vận_chuyển,chuyển_vận,SYN
chờ_mong,mong_chờ,SYN
sắp_xếp,lộn_xộn,ANT
chín,sống,ANT
nhớ,quên,ANT
xếp_đặt,sắp_đặt,SYN
trốn,hiện,ANT
chen,chêm,SYN
lỉnh,lỏn,SYN
hành_hình,hành_quyết,SYN
đố_kỵ,ghen_ghét,SYN
khuyến_khích,kiềm_toả,ANT
gởi_gắm,gửi_gắm,SYN
ngả_nghiêng,thối_chí,SYN
phản_đối,ủng_hộ,ANT
biệt_ly,sum_họp,ANT
chia_phôi,li_biệt,SYN
công_kích,bảo_vệ,ANT
phớt_lờ,chú_ý,ANT
thộp,chộp,SYN
lăng_mạ,nhục_mạ,SYN
ngoẻo,toi,SYN
tụ_tập,quảng_bá,ANT
nhũng_nhiễu,sách_nhiễu,SYN
lưu_thông,tắc_nghẽn,ANT
phong,phong_tặng,SYN
làm_bộ,giả_bộ,SYN
thu_nạp,ngăn_cản,ANT
giải,cuộn,ANT
van,van_xin,SYN
giội,trút,SYN
được,thua,ANT
xa_cách,xa_rời,SYN
mong,vô_vọng,ANT
thụt_lùi,tiến_bộ,ANT
chế_giễu,chế_nhạo,SYN
bọc,cởi,ANT
cầu_khẩn,khẩn_cầu,SYN
thức_giấc,tỉnh_giấc,SYN
nhốt,thả,ANT
bắt_thăm,bốc_thăm,SYN
giả_trang,hoá_trang,SYN
cường_điệu,thổi_phồng,SYN
bế_mạc,khai_mạc,ANT
bác,chấp_thuận,ANT
còn,hết,ANT
hy_vọng,vô_vọng,ANT
đầu_hàng,hàng,SYN
tháo_dỡ,lắp,ANT
ăn_hiếp,bắt_nạt,SYN
thương,yêu_thương,SYN
chuyện_trò,trò_chuyện,SYN
phủ_nhận,xác_nhận,ANT
giả_mạo,sửa_chữa,ANT
khinh_thường,coi_trọng,ANT
chống_cự,đầu_hàng,ANT
khoan_nhượng,nhân_nhượng,SYN
hàng,vượt,ANT
thăng,chào_đời,ANT
phớt,để_tâm,ANT
tốn,mất,SYN
ly_biệt,đoàn_tụ,ANT
thiết_nghĩ,thiết_tưởng,SYN
ghìm,kìm,SYN
kí_kết,ký_kết,SYN
ước_vọng,tuyệt_vọng,ANT
giữ,giải_phóng,ANT
bố_trí,xáo_trộn,ANT
chứng_thực,nhận_thực,SYN
bắt_đầu,kết_thúc,ANT
tán_dương,trách,ANT
coi_nhẹ,coi_thường,SYN
kìm_hãm,thúc_đẩy,ANT
lẳng,quăng,SYN
dạt,giạt,SYN
làm_lơ,làm_ngơ,SYN
tích_góp,góp_nhặt,SYN
nản_chí,kiên_định,ANT
khẳng_định,từ_bỏ,ANT
hy_vọng,thất_vọng,ANT
giam_cầm,giam_giữ,SYN
tiến,lùi,ANT
lừa_đảo,tỉnh_ngộ,ANT
trấn_an,khuyến_khích,ANT
động_chạm,va_chạm,SYN
ngừng,khởi_đầu,ANT
bác_bỏ,chấp_nhận,ANT
am_tường,thông_hiểu,SYN
phân_chia,liên_kết,ANT
chà_đạp,giày_xéo,SYN
thọc,xọc,SYN
giam_giữ,nhốt,SYN
chia_phôi,đoàn_tụ,ANT
doạ,đe,SYN
tinh_chế,tinh_luyện,SYN
lặt,lượm,SYN
khước_từ,chấp_nhận,ANT
chia_tay,sum_họp,ANT
lao,xốc,SYN
vào,ra,ANT
nhảy_xổ,nhảy_bổ,SYN
gỡ,trói,ANT
vui,ca_cẩm,ANT
kết_nạp,khai_trừ,ANT
báo_oán,báo_ơn,ANT
dạy_bảo,khuyên_bảo,SYN
truy_lùng,săn_lùng,SYN
chọc,thọc,SYN
đùa_giỡn,nô_giỡn,SYN
phản_kháng,quy_hàng,ANT
khoái_lạc,nỗi_đau,ANT
yếu_kém,sức_mạnh,ANT
thanh_danh,ô_nhục,ANT
dây,dọc,SYN
bằng_cớ,chứng_cớ,SYN
ba,me,ANT
ngày,ban_đêm,ANT
gông_cùm,gông_xiềng,SYN
nhân_tài,tài_năng,SYN
khởi_đầu,cuối_cùng,ANT
hậu_duệ,bố_mẹ,ANT
dạ_hương,dạ_lý_hương,SYN
khuyết_thiếu,ưu_điểm,ANT
áo_quan,quan_tài,SYN
vô_tỷ,số_vô_tỷ,SYN
phục_viên,động_viên,ANT
tía,me,ANT
cậu,cô,ANT
cha,u,ANT
xuất_phát,kết_thúc,ANT
hậu_duệ,phụ_huynh,ANT
bệ,đầu,ANT
cõi_tục,trần_gian,SYN
nhiệm_kì,nhiệm_kỳ,SYN
sáng,bóng_tối,ANT
khởi_thuỷ,cuối_cùng,ANT
thầy,u,ANT
chú,thím,ANT
báng,bá,SYN
khuyết_điểm,ưu_điểm,ANT
nội_qui,nội_quy,SYN
dĩ_vãng,tương_lai,ANT
thiếu_sót,khuyết_điểm,SYN
trái_đất,địa_cầu,SYN
vú,tí,SYN
bác,gì,ANT
dầu_hoả,dầu_hôi,SYN
đàn_bà,nam_giới,ANT
xuân_phân,thu_phân,ANT
thuế_khoá,thuế_má,SYN
thiên_quốc,địa_ngục,ANT
nữ_hoàng,vua,ANT
bác,thím,ANT
tàn_dư,tàn_tích,SYN
nam,trai,SYN
phụ_thân,má,ANT
thiếu_nữ,chàng_trai,ANT
sở_trường,nhược_điểm,ANT
kết_thúc,khởi_đầu,ANT
đàn_bà,nam,ANT
hạn,vận_hạn,SYN
bồ_bịch,tình_nhân,SYN
tinh_mơ,hoàng_hôn,ANT
mẹ,u,SYN
khởi_đầu,chấm_hết,ANT
hiện_diện,vắng,ANT
mộ,mả,SYN
ven,vệ,SYN
thân_xác,thể_xác,SYN
phụ_nữ,con_trai,ANT
tàu,tầu,SYN
tiểu_phẫu,đại_phẫu,ANT
quá_khứ,vị_lai,ANT
thầy,me,ANT
xuất_hiện,thiếu,ANT
cha_mẹ,bố_mẹ,SYN
chắn,barie,SYN
xuất_phát_điểm,chấm_hết,ANT
cô_gái,chàng_trai,ANT
xuất_hiện,vắng_mặt,ANT
tốt,vô_sinh,ANT
thi_thể,thây,SYN
mầm,mống,SYN
tha_ma,nghĩa_trang,SYN
nhà_giam,nhà_đá,SYN
tã,tã_lót,SYN
dĩ_vãng,sau_này,ANT
đạo_lí,đạo_nghĩa,SYN
bố,má,ANT
đảo,cù_lao,SYN
xuất_phát,chấm_hết,ANT
người_yêu,tình_nhân,SYN
ông_già,u,ANT
dầu_hoả,dầu_lửa,SYN
sở_trường,điểm_yếu,ANT
nhà_giam,nhà_lao,SYN
tiếp_tục,thôi,ANT
golf,gôn,SYN
phụ_nữ,nam,ANT
đống,gò,SYN
thiên_quốc,hoả_ngục,ANT
điều_thiện,xấu,ANT
đô_thị,quê,ANT
đít,khu,SYN
ban_đầu,cuối_cùng,ANT
tinh_mơ,tinh_sương,SYN
phong_bì,bao_thơ,SYN
cha_nội,cha,SYN
thầy,bầm,ANT
đề_án,dự_án,SYN
duyên_cớ,nguyên_cớ,SYN
ba,u,ANT
em_trai,em_gái,ANT
thiên_đàng,hoả_ngục,ANT
tí,tị,SYN
chồng,bà_xã,ANT
mạng,mệnh,SYN
thiên_đường,hoả_ngục,ANT
hòm,quan_tài,SYN
đầu_tiên,trước_hết,SYN
cậu,bác,ANT
bá,già,SYN
danh_giá,nhục_nhã,ANT
chú,cô,ANT
phụ_nữ,nam_giới,ANT
sở_trường,khuyết_điểm,ANT
nguyên_lí,nguyên_lý,SYN
sở_trường,hạn_chế,ANT
bè,phe,SYN
mẹ,mế,SYN
nền,figure,ANT
gốc_rễ,cội_rễ,SYN
giữa,cuối_cùng,ANT
ổ,nhóm,SYN
cõi_tục,dương_gian,SYN
ngô,bắp,SYN
dấu_vết,vết_tích,SYN
khía_cạnh,góc_cạnh,SYN
nếp,lề_thói,SYN
thuộc_hạ,thủ_túc,SYN
tục,trần,SYN
lí,thiên_lý,SYN
công_khố,công_quỹ,SYN
lãnh_vực,lĩnh_vực,SYN
tép_riu,nhãi_nhép,SYN
hạ,gia_tăng,ANT
danh_giá,ô_danh,ANT
ký_sinh_trùng,vật_chủ,ANT
sở_trường,yếu_điểm,ANT
hàng_xóm,láng_giềng,SYN
đồng_la,phèng_la,SYN
thuộc_hạ,chỉ_huy,ANT
thầy,mẹ,ANT
giảm,gia_tăng,ANT
chú,mợ,ANT
trạng_thái,thể,SYN
thận,cật,SYN
cán,tông,SYN
yếu_kém,thành_công,ANT
phạm_nhân,tội_phạm,SYN
danh_dự,ô_danh,ANT
đồng_phạm,tòng_phạm,SYN
ông_già,mợ,ANT
phụ_thân,me,ANT
giữa,xuất_phát_điểm,ANT
ngày_nay,hiện_tại,SYN
con,ba_má,ANT
góp_mặt,vắng_mặt,ANT
bát,chén,SYN
áo_quần,quần_áo,SYN
xuất_phát_điểm,cuối_cùng,ANT
bầm,mạ,SYN
mở_đầu,trung,ANT
lượng,cây,SYN
phục_viên,điều_động,ANT
dọc,hàng,SYN
ẩn_ý,hàm_ý,SYN
tuồng,bọn,SYN
hoàn_thành,bắt_đầu,ANT
thầy,má,ANT
thầy,mợ,ANT
chân,đầu,ANT
tiết_diện,thiết_diện,SYN
đen,bạch,ANT
trụ_cột,cột_trụ,SYN
thanh_danh,tai_tiếng,ANT
ông_già,má,ANT
cha,má,ANT
nữ_giới,nam,ANT
tin,tin_tức,SYN
ban_ngày,đêm,ANT
thơ,thư,SYN
đàn_bà,đàn_ông,ANT
trăng_gió,trăng_hoa,SYN
ban_mai,hoàng_hôn,ANT
cữ,lóng,SYN
bố,bầm,ANT
khu_đô_thị,nông_thôn,ANT
bảo_vật,báu_vật,SYN
phụ_thân,mợ,ANT
bố,mẹ,ANT
nhân_gian,trần_gian,SYN
chân_tay,lãnh_đạo,ANT
danh_tánh,danh_tính,SYN
tay_hữu,tay_trái,ANT
tí_ti,tí_chút,SYN
sáng,tăm_tối,ANT
dịp,thời_cơ,SYN
tía,má,ANT
sút,gia_tăng,ANT
thiếu_sót,ưu_điểm,ANT
bè_đảng,bè_phái,SYN
tía,mẹ,ANT
tí_ti,tí_teo,SYN
giữa,kết_thúc,ANT
quá_khứ,sau_này,ANT
kỉ,kỷ,SYN
thiện_tâm,ác_tâm,ANT
tù,phạm_nhân,SYN
tuổi,giai_đoạn,SYN
thuộc_hạ,lãnh_đạo,ANT
người_yêu,người_tình,SYN
gái_điếm,kĩ_nữ,SYN
đại_lí,đại_lý,SYN
ba,bầm,ANT
giữa,ban_đầu,ANT
mức,mực,SYN
thiên_tính,thiên_tư,SYN
cậu,mợ,ANT
mĩ_thuật,mỹ_thuật,SYN
tiếp_tục,ngừng,ANT
nhất_nguyên_luận,thuyết_nhất_nguyên,SYN
chung_cư,cư_xá,SYN
công_nhân,chủ,ANT
anh_trai,em_gái,ANT
kìm,kềm,SYN
thanh_danh,nhục_nhã,ANT
tội_phạm,tội_nhân,SYN
ba,mợ,ANT
mức,ngữ,SYN
cơm_cháo,trò_trống,SYN
tía,mợ,ANT
phục_viên,điều,ANT
phạm_nhân,tội_nhân,SYN
khu_đô_thị,đồng_quê,ANT
phụ_thân,u,ANT
tộc_người,sắc_tộc,SYN
nhà_giam,ngục_tù,SYN
ban_đầu,kết_thúc,ANT
cõi_tục,trần_thế,SYN
học_thức,học_vấn,SYN
nhà_buôn,thương_nhân,SYN
chồng,hôn_thê,ANT
đàn_bà,phụ_nữ,SYN
lối,đường,SYN
vô_địch,quán_quân,SYN
ông_già,bầm,ANT
hậu_duệ,cha_mẹ,ANT
cha,me,ANT
căm,tăm,SYN
bố,con_cái,ANT
điều_thiện,dữ,ANT
đại_hồi,hồi,SYN
ban,đêm,ANT
kết_thúc,bắt_đầu,ANT
thông_gia,sui_gia,SYN
thiên_đàng,địa_ngục,ANT
đất_nước,sông_núi,SYN
nữ_giới,đàn_ông,ANT
bố,cha,SYN
ông_già,mẹ,ANT
ban_đầu,chấm_hết,ANT
chồng,phu_nhân,ANT
nguyên_do,nguyên_cớ,SYN
phụ_thân,bầm,ANT
chung_cư,khu_tập_thể,SYN
xuất_phát,cuối_cùng,ANT
thuộc_tính,tính_chất,SYN
chuồng_xí,nhà_cầu,SYN
em_trai,chị_gái,ANT
tía,u,ANT
lãnh_thổ,cương_vực,SYN
chú,gì,ANT
con,phụ_huynh,ANT
quá_khứ,tương_lai,ANT
cõi_dương,trần_gian,SYN
anh_trai,chị_gái,ANT
màu_mỡ,vô_sinh,ANT
thẩm_mĩ,thẩm_mỹ,SYN
bắt_đầu,trung,ANT
chuẩn,chuẩn_mực,SYN
cảnh_vệ,vệ_binh,SYN
hậu_duệ,ba_má,ANT
ông_già,me,ANT
tiên_sư,tổ_sư,SYN
tột_bực,tột_đỉnh,SYN
màng,váng,SYN
danh_giá,hổ_thẹn,ANT
giữa,khởi_đầu,ANT
nhà_thơ,thi_sĩ,SYN
con,cha_mẹ,ANT
hát_bộ,hát_tuồng,SYN
chủ_định,chủ_ý,SYN
chân_tay,chỉ_huy,ANT
tía,bầm,ANT
lỗi,ưu_điểm,ANT
thìa,muỗng,SYN
xuất_phát_điểm,kết_thúc,ANT
giống_nòi,nòi_giống,SYN
bí_danh,mật_danh,SYN
ba,mẹ,ANT
điện_báo,điện_tín,SYN
giảm_sút,gia_tăng,ANT
dáng_dấp,dáng_vẻ,SYN
bố,me,ANT
chấm,điểm,SYN
con_gái,con_trai,ANT
tròng,bẫy,SYN
hình_dáng,hình_trạng,SYN
hậu_duệ,phụ_mẫu,ANT
dương_gian,trần_thế,SYN
linh_hồn,vong_hồn,SYN
hiệu,tiệm,SYN
tào_phớ,tàu_hũ,SYN
danh_dự,hổ_thẹn,ANT
bác,mợ,ANT
phong_thấp,thấp_khớp,SYN
trận_mạc,chiến_trận,SYN
khi,lúc,SYN
ký_chủ,vật_chủ,SYN
cha,bầm,ANT
tai_vạ,tai_ương,SYN
con_cái,phụ_mẫu,ANT
bạn_bè,bằng_hữu,SYN
vận_mệnh,vận_số,SYN
ngọn_ngành,nguồn_cơn,SYN
cõi_trần,dương_gian,SYN
nữ_giới,nam_giới,ANT
xấp,xếp,SYN
khởi_thuỷ,chấm_hết,ANT
thợ_xây,thợ_hồ,SYN
cha,mợ,ANT
đen,trắng,ANT
chủ_nghĩa_nhân_đạo,chủ_nghĩa_nhân_văn,SYN
danh_giá,ô_nhục,ANT
tay_phải,tay_trái,ANT
di_chúc,chúc_thư,SYN
giữa,xuất_phát,ANT
đặc_điểm,đặc_trưng,SYN
màu,mầu,SYN
tiên_nga,ngọc_nữ,SYN
thiên_đường,địa_ngục,ANT
thuỷ_đậu,trái_rạ,SYN
phép,phép_thuật,SYN
kĩ_thuật,kỹ_thuật,SYN
tên,gã,SYN
giữa,chấm_hết,ANT
vầng,vừng,SYN
bố,u,ANT
ảnh,hình,SYN
khoảng,độ,SYN
uy_quyền,quyền_uy,SYN
bố,mợ,ANT
mẻ,trận,SYN
điều_ước,thoả_ước,SYN
ba,má,ANT
ban_ngày,ban_đêm,ANT
con_cái,bố_mẹ,ANT
trần,dương_gian,SYN
tiếp_tục,đình_chỉ,ANT
đàn_tì,đàn_tỳ,SYN
tàu_bè,tàu_thuyền,SYN
vây_cánh,lãnh_đạo,ANT
chú,bác,ANT
tẹo,ti,SYN
con_gái,chàng_trai,ANT
phụ_thân,mẹ,ANT
hàng,quán,SYN
thang,chén,SYN
danh_tiếng,ô_nhục,ANT
chủ_nghĩa_xã_hội,tư_bản_chủ_nghĩa,ANT
điều_thiện,tệ,ANT
dạ,lòng,SYN
tri_kỉ,tri_kỷ,SYN
giữa,khởi_thuỷ,ANT
vây_cánh,chỉ_huy,ANT
ca_vát,cà_vạt,SYN
phía,bên,SYN
bu,mệ,SYN
file,tập_tin,SYN
hiện_diện,thiếu,ANT
ngụm,hụm,SYN
kên_kên,kền_kền,SYN
kỉ_nguyên,kỷ_nguyên,SYN
tê_tê,trút,SYN
hạ,hè,SYN
góp_mặt,vắng,ANT
bác,cô,ANT
dĩ_vãng,vị_lai,ANT
ước_muốn,ước_vọng,SYN
cực_điểm,đỉnh_điểm,SYN
cha,mẹ,ANT
khởi_thuỷ,kết_thúc,ANT
thị_lực,nhãn_lực,SYN
mùi,ngò,SYN
mẹ,bu,SYN
hòm,thùng,SYN
cuối,đầu,ANT
đống,lô,SYN
chồng,vợ,ANT
hời_hợt,nông_cạn,SYN
thảnh_thơi,ưu_tư,ANT
vô_lý,có_lí,ANT
cuồng_nộ,phẫn_nộ,SYN
đần,thông_minh,ANT
có_lí,vô_lí,ANT
ấm_no,no_ấm,SYN
lí_thú,lý_thú,SYN
lợi,thiệt,ANT
dư_dật,thiếu_thốn,ANT
lắm,ít,ANT
mạnh_dạn,nhát,ANT
vẩu,vổ,SYN
ác,thiện,ANT
gọn_ghẽ,bừa_bộn,ANT
thô_lỗ,lỗ_mãng,SYN
rỗng,rỗng_không,SYN
hưng_thịnh,hưng_vượng,SYN
nhám,mịn,ANT
tàn_ác,tàn_tệ,SYN
lệch,ngay,ANT
chính_xác,xác_thực,SYN
đen,đỏ,ANT
lười_biếng,siêng_năng,ANT
chật_hẹp,rộng_rãi,ANT
vững,vững_vàng,SYN
đương_chức,đương_nhiệm,SYN
khuất_tất,mờ_ám,SYN
kỹ_lưỡng,sơ_sài,ANT
đặc,loãng,ANT
gần,xa,ANT
hợp_lí,vô_lí,ANT
ác_độc,hiền_lành,ANT
mau_chóng,nhanh_chóng,SYN
quỉ_quái,quái_quỷ,SYN
tỉnh_bơ,tỉnh_queo,SYN
chặt,lỏng,ANT
gian_trá,gian_xảo,SYN
bận_bịu,rảnh_rỗi,ANT
thẳng,thẳng_băng,SYN
bi_quan,lạc_quan,ANT
chặt_chẽ,lỏng_lẻo,ANT
hậu_hĩ,hậu_hĩnh,SYN
gọn_gàng,bừa_bộn,ANT
màu_mỡ,phì_nhiêu,SYN
khô,khô_khan,SYN
thành_tâm,thực_tình,SYN
ẩm,khô,ANT
kĩ_càng,qua_quýt,ANT
độc_nhất,độc_nhất_vô_nhị,SYN
bươm,tươm,SYN
ác_độc,độc_ác,SYN
chóng,muộn,ANT
kĩ_càng,tỷ_mỉ,SYN
thường_kỳ,bất_thường,ANT
lung_tung,gọn_ghẽ,ANT
đặc,kín,SYN
mát_mẻ,nóng_nực,ANT
bé,to,ANT
ngu_đần,thông_minh,ANT
khảng_khái,khẳng_khái,SYN
tối_tăm,tối_dạ,SYN
dơ_dáy,sạch,ANT
khoả_thân,nuy,SYN
thông_minh,ngu_ngốc,ANT
nghèo_khó,nghèo_túng,SYN
man_trá,xảo_quyệt,SYN
an_tâm,lo_lắng,ANT
mạnh_mẽ,yếu_ớt,ANT
